name,image,class,subclass,tags,description,hp,hp_backed,hp_cooked,effect_cooked,quality_lvl,potential,duration_bonus_cooked,selling_price,selling_mon,dye_color,food_recipe,armor_upgrade,compendium_id,notes,buying_price,shop
Acorn,40px-BotW_Acorn_Icon.png?version=5b1bf1f5aa8c068af4e515d9b8966182 (https://dl.airtable.com/RLSayh9XSRmYqqsWrUgv_40px-BotW_Acorn_Icon.png%3Fversion%3D5b1bf1f5aa8c068af4e515d9b8966182),Material,Ingredient,,"Often found on the ground near trees. Squirrels adore this nut, so you may have competition while foraging. Add one to a meal for a nutty seasoning.",0.25,0.5,1,,,,"First 0:50, 0:30",2,,Brown,"Sautéed Nuts, Roasted Acorn, Nutcake","Cap of the Wild, Trousers of the Wild, Tunic of the Wild",,,,
Amber,40px-BotW_Amber_Icon.png?version=614817377ae1915b528adb5e826a50c7 (https://dl.airtable.com/AYBFmxdQSWyJLFZLxael_40px-BotW_Amber_Icon.png%3Fversion%3D614817377ae1915b528adb5e826a50c7),Material,Ore,,A fossilized resin with a caramelesque sheen to it. It's been valued as a component in decorations and crafting since ancient times.,,,,,,,,30,,Orange,,"Amber Earrings, Cap of Time, Hylian Hood, Hylian Trousers, Hylian Tunic, Trousers of Time",,,,
Apple,40px-BotW_Apple_Icon.png?version=379f73557fc88ed5370fe17aaa73ba8f (https://dl.airtable.com/38gZoH3Tg6g0WCubhCVV_40px-BotW_Apple_Icon.png%3Fversion%3D379f73557fc88ed5370fe17aaa73ba8f),Material,Fruit,,"A common fruit found on trees all around Hyrule. Eat it fresh, or cook it to increase its effect.",0.5,0.75,1,,,,0:30,3,,Red,"Energizing Honeyed Apple, Hot Buttered Apple, Baked Apple, Apple Pie, Fruitcake, Fruit and Mushroom Mix, Simmered Fruit, Copious Simmered Fruit",,,,,
Armoranth,40px-BotW_Armoranth_Icon.png?version=631ec0cafe110692871546e320b826b1 (https://dl.airtable.com/p6oIONYSSaVNwlSE6eNn_40px-BotW_Armoranth_Icon.png%3Fversion%3D631ec0cafe110692871546e320b826b1),Material,Plant,,"This tough medicinal plant cannot be broken, but it can be cooked. Its durable yet flexible fibers raise your defense when cooked into a dish.",,0.5,,Tough,1,1,0:50,5,,Purple,Roasted Armoranth,,,,,
Armored Carp,40px-BotW_Armored_Carp_Icon.png?version=35135a16f8e41331d112e778f8b038b6 (https://dl.airtable.com/qOFeZUILSGSTL5UWeaXw_40px-BotW_Armored_Carp_Icon.png%3Fversion%3D35135a16f8e41331d112e778f8b038b6),Material,Seafood,Fish,"Calcium deposits in the scales of this ancient fish make them as hard as armor. Cooking it into a dish will fortify your bones, temporarily increasing your defense.",1,1.5,2,Tough,2,2,0:50,10,,,"Frozen Carp, Roasted Carp, Fish Skewer, Fish and Mushroom Skewer, Salt-Grilled Fish, Monster Stew",,,,,
Armored Porgy,40px-BotW_Armored_Porgy_Icon.png?version=cc8b787bd80b752f996c5d7dc8df84fa (https://dl.airtable.com/X4C5uoumR72QpeyyaQM4_40px-BotW_Armored_Porgy_Icon.png%3Fversion%3Dcc8b787bd80b752f996c5d7dc8df84fa),Material,Seafood,Fish,"This porgy's body is covered in armor-hard scales. The compounds in its scales, when cooked into a dish, fortify your bones and temporarily boost your defense.",1,1.5,2,Tough,3,3,0:50,10,,,"Roasted Porgy, Porgy Meunière, Seafood Curry, Seafood Fried Rice, Seafood Paella, Fish Skewer, Salt-Grilled Fish, Monster Stew",,,,,
Big Hearty Radish,40px-BotW_Big_Hearty_Radish_Icon.png?version=88e08998032975de4a2673ed5ce73935 (https://dl.airtable.com/baMr52bRHy6FmiYM71UG_40px-BotW_Big_Hearty_Radish_Icon.png%3Fversion%3D88e08998032975de4a2673ed5ce73935),Material,Vegetable,,"This hearty radish has grown much larger than the average radish. It's rich in analeptic compounds that, when cooked into a dish, temporarily increase your maximum hearts.",4,6,30,Hearty,5,5,,15,,Peach,"Roasted Big Radish, Creamy Heart Soup",,,,,
Big Hearty Truffle,40px-BotW_Big_Hearty_Truffle_Icon.png?version=0e1a17b7dda22312bbbe9edfb65f9f98 (https://dl.airtable.com/0KlvpmQCWlQRbFC9VkQe_40px-BotW_Big_Hearty_Truffle_Icon.png%3Fversion%3D0e1a17b7dda22312bbbe9edfb65f9f98),Material,Shroom,,"Years of going unpicked have allowed this hearty truffle to grow quite large. It's chock-full of nutrients. When cooked into a dish, it temporarily increases your maximum hearts.",3,4.5,30,Hearty,4,4,,15,,Black,"Toasted Big Hearty Truffle, Mushroom Skewer, Mushroom Rice Balls, Copious Mushrooms Skewers, Salt-Grilled Mushrooms, Glazed Mushrooms, Meat & Mushroom Skewer, Mushroom Omelet, Mushroom Risotto, Fragrant Mushroom Sauté, Fish and Mushroom Skewer",,,,,
Bird Egg,40px-BotW_Bird_Egg_Icon.png?version=96c3f6201538a8a61d35743f1b6a84c2 (https://dl.airtable.com/hbRtdQVfQgSuRQqAz8FC_40px-BotW_Bird_Egg_Icon.png%3Fversion%3D96c3f6201538a8a61d35743f1b6a84c2),Material,Ingredient,,"A fresh bird egg necessary for making dishes such as omelets and crepes. You can snag them from birds' nests if you're sneaky. Nutritious and delicious, perfect.",1,1.5,2,,,,0:30,3,,Yellow,"Omelet, Hard-Boiled Egg, Campfire Egg, Crab Omelet with Rice, Curry Pilaf, Egg Pudding, Egg Tart, Fried Egg and Rice, Gourmet Poultry Pilaf, Honey Crepe, Plain Crepe, Poultry Pilaf, Prime Poultry Pilaf, Vegetable Omelet, Wildberry Crepe, Mushroom Omelet",,,,,
Bladed Rhino Beetle,40px-BotW_Bladed_Rhino_Beetle_Icon.png?version=50defd689524e0e3ff493593ff0369d5 (https://dl.airtable.com/oqEOK3uqQiqdQ6fgdphX_40px-BotW_Bladed_Rhino_Beetle_Icon.png%3Fversion%3D50defd689524e0e3ff493593ff0369d5),Material,Critter,,This beetle's razor-sharp horns demand that you handle it with care. Boil the horns alongside monster parts to concoct an elixir that will raise your attack power.,,,,Mighty,1,1,0:50,4,,Navy,"Mighty Elixir, Dubious Food",Trousers of the Wild,,,,
